spanish,french,category,icon,tags,notes,cloze,french_sentence
la espada corta,l'épée courte,armas,cathelineau/swordman.svg,reference armas,El pícaro saca su espada corta.,(épée courte) El pícaro saca su {{c1::espada corta}}.,Le roublard sort son épée courte.
la espada larga,l'épée longue,armas,cathelineau/swordman.svg,reference armas,El paladín blande su espada larga.,(épée longue) El paladín blande su {{c1::espada larga}}.,Le paladin brandit son épée longue.
la espada bastarda,l'épée bâtarde,armas,cathelineau/swordman.svg,reference armas,La guerrera usa su espada bastarda.,(épée bâtarde) La guerrera usa su {{c1::espada bastarda}}.,La guerrière utilise son épée bâtarde.
el espadón,l'espadon,armas,lorc/broadsword.svg,reference armas,El bárbaro blande el espadón con dos manos.,(espadon) El bárbaro blande el {{c1::espadón}} con dos manos.,Le barbare manie l'espadon à deux mains.
la daga,la dague,armas,lorc/daggers.svg,reference armas,El pícaro esconde una daga en su bota.,(dague) El pícaro esconde una {{c1::daga}} en su bota.,Le roublard cache une dague dans sa botte.
el puñal,le poignard,armas,lorc/daggers.svg,reference armas,El asesino lanza su puñal con precisión mortal.,(poignard) El asesino lanza su {{c1::puñal}} con precisión mortal.,L'assassin lance son poignard avec une précision mortelle.
el hacha de mano,la hache de main,armas,lorc/battle-axe.svg,reference armas,El enano lanza su hacha de mano contra el goblin.,(hache de main) El enano lanza su {{c1::hacha de mano}} contra el goblin.,Le nain lance sa hache de main contre le gobelin.
el hacha de batalla,la hache de bataille,armas,lorc/battle-axe.svg,reference armas,El enano derriba al orco con su hacha de batalla.,(hache de bataille) El enano derriba al orco con su {{c1::hacha de batalla}}.,Le nain abat l'orc avec sa hache de bataille.
la maza,la masse,armas,delapouite/bone-mace.svg,reference armas,El clérigo golpea con su maza sagrada.,(masse) El clérigo golpea con su {{c1::maza}} sagrada.,Le clerc frappe avec sa masse sacrée.
la lanza,la lance,armas,lorc/spears.svg,reference armas,El soldado clava su lanza en el suelo.,(lance) El soldado clava su {{c1::lanza}} en el suelo.,Le soldat plante sa lance dans le sol.
el arco corto,l'arc court,armas,delapouite/bow-arrow.svg,reference armas,La exploradora dispara su arco corto.,(arc court) La exploradora dispara su {{c1::arco corto}}.,L'exploratrice tire avec son arc court.
el arco largo,l'arc long,armas,delapouite/bow-arrow.svg,reference armas,El elfo dispara su arco largo.,(arc long) El elfo dispara su {{c1::arco largo}}.,L'elfe tire avec son arc long.
la ballesta de mano,l'arbalète de poing,armas,carl-olsen/crossbow.svg,reference armas,El pícaro recarga su ballesta de mano.,(arbalète de poing) El pícaro recarga su {{c1::ballesta de mano}}.,Le roublard recharge son arbalète de poing.
el bastón,le bâton (bourdon),armas,lorc/wizard-staff.svg,reference armas,El mago golpea el suelo con su bastón.,(bâton) El mago golpea el suelo con su {{c1::bastón}}.,Le mage frappe le sol avec son bâton.
la armadura de cuero,l'armure de cuir,armadura,lorc/breastplate.svg,reference armadura,El pícaro lleva armadura de cuero.,(armure de cuir) El pícaro lleva {{c1::armadura de cuero}}.,Le roublard porte une armure de cuir.
la armadura de cuero tachonado,l'armure de cuir clouté,armadura,lorc/breastplate.svg,reference armadura,La exploradora lleva armadura de cuero tachonado.,(armure de cuir clouté) La exploradora lleva {{c1::armadura de cuero tachonado}}.,L'exploratrice porte une armure de cuir clouté.
la cota de malla,la cotte de mailles,armadura,lorc/mail-shirt.svg,reference armadura,El guerrero lleva cota de malla.,(cotte de mailles) El guerrero lleva {{c1::cota de malla}}.,Le guerrier porte une cotte de mailles.
la armadura de escamas,l'armure d'écailles,armadura,lorc/breastplate.svg,reference armadura,El caballero lleva armadura de escamas.,(armure d'écailles) El caballero lleva {{c1::armadura de escamas}}.,Le chevalier porte une armure d'écailles.
la armadura de placas,l'armure de plaques,armadura,lorc/breastplate.svg,reference armadura,La paladina lleva armadura de placas.,(armure de plaques) La paladina lleva {{c1::armadura de placas}}.,La paladine porte une armure de plaques.
el escudo,le bouclier,armadura,sbed/shield.svg,reference armadura,El guerrero bloquea con su escudo.,(bouclier) El guerrero bloquea con su {{c1::escudo}}.,Le guerrier bloque avec son bouclier.
el yelmo,le heaume / casque,armadura,lorc/visored-helm.svg,reference armadura,El caballero se pone el yelmo.,(heaume) El caballero se pone el {{c1::yelmo}}.,Le chevalier met son heaume.
la capa,la cape,ropa,lucasms/cloak.svg,reference ropa,El mago lleva una capa oscura.,(cape) El mago lleva una {{c1::capa}} oscura.,Le mage porte une cape sombre.
las botas de cuero,les bottes de cuir,ropa,lorc/boots.svg,reference ropa,El explorador lleva botas de cuero.,(bottes de cuir) El explorador lleva {{c1::botas de cuero}}.,L'explorateur porte des bottes de cuir.
el saco de dormir,le sac de couchage,equipo,delapouite/bed.svg,reference equipo,El aventurero usa su saco de dormir.,(sac de couchage) El aventurero usa su {{c1::saco de dormir}}.,L'aventurier utilise son sac de couchage.
la mochila,le sac à dos,equipo,delapouite/backpack.svg,reference equipo,La aventurera guarda las pociones en su mochila.,(sac à dos) La aventurera guarda las pociones en su {{c1::mochila}}.,L'aventurière range les potions dans son sac à dos.
la cuerda,la corde,equipo,delapouite/rope-coil.svg,reference equipo,La cuerda sirve para escalar.,(corde) {{c1::La cuerda}} sirve para escalar.,La corde sert à escalader.
la antorcha,la torche,equipo,delapouite/torch.svg,reference equipo,La antorcha ilumina la mazmorra.,(torche) {{c1::La antorcha}} ilumina la mazmorra.,La torche éclaire le donjon.
el sílex y el pedernal,le briquet (silex et amadou),equipo,sbed/fire.svg,reference equipo,Usa el sílex y el pedernal para hacer fuego.,(briquet) Usa el {{c1::sílex y el pedernal}} para hacer fuego.,Utilise le briquet pour faire du feu.
la ración de viaje,la ration de voyage,equipo,delapouite/bread.svg,reference equipo,Comemos una ración de viaje en el camino.,(ration de voyage) Comemos una {{c1::ración de viaje}} en el camino.,On mange une ration de voyage en route.
la bolsa de monedas,la bourse,equipo,delapouite/coins.svg,reference equipo,El pícaro guarda su bolsa de monedas.,(bourse) El pícaro guarda su {{c1::bolsa de monedas}}.,Le roublard garde sa bourse.
las monedas de oro,les pièces d'or (po),dinero,willdabeast/gold-bar.svg,reference dinero,El grupo tiene diez monedas de oro.,(pièces d'or) El grupo tiene diez {{c1::monedas de oro}}.,Le groupe a dix pièces d'or.
las monedas de plata,les pièces d'argent (pa),dinero,delapouite/coins.svg,reference dinero,El mercader cobra monedas de plata.,(pièces d'argent) El mercader cobra {{c1::monedas de plata}}.,Le marchand demande des pièces d'argent.
las monedas de cobre,les pièces de cuivre (pc),dinero,delapouite/coins.svg,reference dinero,El mendigo pide unas monedas de cobre.,(pièces de cuivre) El mendigo pide unas {{c1::monedas de cobre}}.,Le mendiant demande des pièces de cuivre.
la poción de curación,la potion de soin,magia,lorc/potion-ball.svg,reference magia,El clérigo da una poción de curación.,(potion de soin) El clérigo da una {{c1::poción de curación}}.,Le clerc donne une potion de soin.
el antídoto,l'antidote,magia,lorc/potion-ball.svg,reference magia,La druida prepara un antídoto contra el veneno.,(antidote) La druida prepara un {{c1::antídoto}} contra el veneno.,La druide prépare un antidote contre le venin.
el componente de hechizo,la composante de sort,magia,lorc/magic-swirl.svg,reference magia,El mago busca un componente de hechizo.,(composante de sort) El mago busca un {{c1::componente de hechizo}}.,Le mage cherche une composante de sort.
